SCHEME,1,TIPTON_SCHEME,TIPTON_SCHEME,QUAIL FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,SPILLWAY FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,SUNNY VISTA FISR,,,,
SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,COCHISE FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,NEEDLE FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,FLOODGATE FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,BRUCITE FISR,,,,
SCHEME,1,PIXLEY_SCHEME,PIXLEY_SCHEME,BLINKER FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,MANZER FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,TURNOUT FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,GLADYS FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,TRI CITY FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,SEGOVIA FISR,,,,
SCHEME,1,LINDSAY_SCHEME,LINDSAY_SCHEME,ROSEDALE FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,MAGUA FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,BRAUN FISR,,,,
SCHEME,1,TIPTON_SCHEME,TIPTON_SCHEME,EDENDALE FISR,,,,
SCHEME,1,TERRA BELLA_SCHEME,TERRA BELLA_SCHEME,DUCOR FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,RUSS BOYD FISR,,,,
SCHEME,1,REPETTO_SCHEME,REPETTO_SCHEME,ESTATES FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,VANDALIA FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,MARGUERITA FISR,,,,
SCHEME,1,DOWNS_SCHEME,DOWNS_SCHEME,ROCKET TOWN FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,OLNEY FISR,,,,
SCHEME,1,HESPERIA_SCHEME,HESPERIA_SCHEME,HERCULES FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,MARENGO FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,TANGERINE FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,BANANA FISR,,,,
SCHEME,1,EARLIMART_SCHEME,EARLIMART_SCHEME,ALILA FISR,,,,
SCHEME,1,BLISS_SCHEME,BLISS_SCHEME,SERENITY FISR,,,,
SCHEME,1,HESPERIA_SCHEME,HESPERIA_SCHEME,SEAFORTH FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,ST. CHARLES FISR,,,,
SCHEME,1,WOODVILLE_SCHEME,WOODVILLE_SCHEME,SAUCELITO FISR,,,,
SCHEME,1,RANCHO_SCHEME,RANCHO_SCHEME,SYMERON FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,TORPEDO FISR,,,,
SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,TONTO FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,GOLDPAN FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,HATFIELD FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,TELSTAR FISR,,,,
SCHEME,1,POPLAR_SCHEME,POPLAR_SCHEME,COTTON FISR,,,,
SCHEME,1,AQUEDUCT_SCHEME,AQUEDUCT_SCHEME,TURBINE FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,TEST FISR,,,,
SCHEME,1,EARLIMART_SCHEME,EARLIMART_SCHEME,MARSH FISR,,,,
SCHEME,1,RANCHO_SCHEME,RANCHO_SCHEME,STANDING ROCK FISR,,,,
SCHEME,1,DOWNS_SCHEME,DOWNS_SCHEME,CRUMVILLE FISR,,,,
SCHEME,1,REPETTO_SCHEME,REPETTO_SCHEME,HAMMELL FISR,,,,
SCHEME,1,BLISS_SCHEME,BLISS_SCHEME,HARMONY FISR,,,,
SCHEME,1,HESPERIA_SCHEME,HESPERIA_SCHEME,BUCKTHORN FISR,,,,
SCHEME,1,BLISS_SCHEME,BLISS_SCHEME,GREEN FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,DOLGEVILLE FISR,,,,
SCHEME,1,ALHAMBRA_SCHEME,ALHAMBRA_SCHEME,TAKNING FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,BRONCO FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,EAGLE RANCH FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,MINGO FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,WING FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,OTTOWA FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,ASTOR FISR,,,,
SCHEME,1,TELEGRAPH_SCHEME,TELEGRAPH_SCHEME,BETA FISR,,,,
